epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,212.55,1.06563,3.71728,1.45357,0.5355,0.54253,0.55097,0.40765,0.98927,3.21165,1.4667,0.00998788,0.00332929,0.00998788,0.00332929,0.00998788,0.00332929,0.00998788,0.00332929
2,387.791,1.06603,2.67275,1.39443,0.71557,0.62492,0.6938,0.5118,1.05446,2.57464,1.53295,0.0195921,0.00653071,0.0195921,0.00653071,0.0195921,0.00653071,0.0195921,0.00653071
3,555.131,1.12587,2.37294,1.40617,0.71791,0.63109,0.69846,0.5187,1.07744,1.9633,1.56869,0.0288004,0.00960012,0.0288004,0.00960012,0.0288004,0.00960012,0.0288004,0.00960012
4,734.283,1.13718,2.0443,1.40615,0.84487,0.68663,0.79418,0.5919,1.0176,1.42858,1.46049,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,905.58,1.07777,1.73047,1.35987,0.87483,0.73884,0.84018,0.64777,0.88515,1.14374,1.39245,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1072.33,1.02162,1.54406,1.31976,0.91137,0.76617,0.86375,0.67211,0.88323,1.00218,1.35872,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1219.3,0.99048,1.41641,1.29421,0.86614,0.78541,0.86866,0.67843,0.87944,0.92881,1.36366,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1361.72,0.98032,1.35033,1.2874,0.91658,0.8283,0.8986,0.70714,0.82466,0.78981,1.31064,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1502.01,0.94504,1.24973,1.26209,0.91562,0.82568,0.89696,0.70874,0.80951,0.77978,1.30215,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1641.89,0.92987,1.20783,1.25327,0.93431,0.83845,0.92051,0.72995,0.813,0.70455,1.29801,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1782.29,0.91178,1.16672,1.24251,0.90627,0.83167,0.91252,0.72045,0.81998,0.73299,1.2897,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1922.77,0.90497,1.12905,1.23573,0.93729,0.84205,0.91978,0.72823,0.80155,0.69226,1.2748,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2062.92,0.87967,1.08292,1.2191,0.93596,0.84206,0.92396,0.73493,0.78706,0.65609,1.25516,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2206.24,0.874,1.04645,1.2115,0.93635,0.85211,0.92297,0.73785,0.77708,0.64494,1.26247,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2346.25,0.86001,1.02748,1.20362,0.94396,0.83959,0.92398,0.74078,0.76151,0.64157,1.23885,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2485.91,0.84874,0.99377,1.19679,0.93936,0.86003,0.93362,0.75136,0.77972,0.60092,1.25775,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2625.67,0.84421,0.9674,1.19735,0.945,0.86566,0.9404,0.75063,0.77897,0.58922,1.24082,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2764.95,0.83961,0.95185,1.19156,0.92113,0.8816,0.9359,0.7581,0.76073,0.57795,1.24365,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2904.63,0.83068,0.92903,1.18413,0.93156,0.87104,0.93761,0.74975,0.75839,0.57259,1.23318,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3044.28,0.8249,0.90756,1.1859,0.91751,0.8865,0.93846,0.7569,0.76044,0.57641,1.2327,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
